# Data from GeoNames.org (https://www.geonames.org), licensed CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/). Places with population 15,000 or more; converted by php artisan platform:convert-geonames.
# Countries: AE, AR, AU, BR, CA, DE, ES, FR, GB, IE, IN, IT, JP, KE, MX, NG, NL, NZ, PL, PT, SE, SG, US, ZA · rows: 18585 · generated 2026-09-26
country_iso2,country_name,state_name,state_code,city_name,latitude,longitude,timezone,dial_code
AE,"United Arab Emirates","Abu Dhabi",,"Abu Dhabi",24.45118,54.39696,Asia/Dubai,+971
AE,"United Arab Emirates","Abu Dhabi",,"Al Ain City",24.19167,55.76056,Asia/Dubai,+971
AE,"United Arab Emirates","Abu Dhabi",,"Al Shamkhah City",24.39268,54.70779,Asia/Dubai,+971
AE,"United Arab Emirates","Abu Dhabi",,"Ar Ruways",24.11028,52.73056,Asia/Dubai,+971
AE,"United Arab Emirates","Abu Dhabi",,"Bani Yas City",24.30978,54.62944,Asia/Dubai,+971
AE,"United Arab Emirates","Abu Dhabi",,"Khalifah A City",24.42588,54.605,Asia/Dubai,+971
AE,"United Arab Emirates","Abu Dhabi",,"Mohammed Bin Zayed City",24.34794,54.55368,Asia/Dubai,+971
AE,"United Arab Emirates","Abu Dhabi",,Musaffah,24.35893,54.48267,Asia/Dubai,+971
AE,"United Arab Emirates","Abu Dhabi",,"Zayed City",23.65416,53.70522,Asia/Dubai,+971
AE,"United Arab Emirates",Ajman,,Ajman,25.40177,55.47878,Asia/Dubai,+971
AE,"United Arab Emirates",Ajman,,"Al Jurf",25.41814,55.50791,Asia/Dubai,+971
AE,"United Arab Emirates",Ajman,,"Al Ḩamīdīyah",25.40001,55.52925,Asia/Dubai,+971
AE,"United Arab Emirates",Ajman,,"Ar Rumaylah",25.40338,55.4334,Asia/Dubai,+971
AE,"United Arab Emirates",Dubai,,"Abū Hayl",25.28413,55.33153,Asia/Dubai,+971
AE,"United Arab Emirates",Dubai,,"Al Bada'a",25.22462,55.26888,Asia/Dubai,+971
AE,"United Arab Emirates",Dubai,,"Al Furjan",25.02651,55.14565,Asia/Dubai,+971
AE,"United Arab Emirates",Dubai,,"Al Karama",25.24004,55.30106,Asia/Dubai,+971
AE,"United Arab Emirates",Dubai,,"Al Mizhar First",25.24805,55.44128,Asia/Dubai,+971
AE,"United Arab Emirates",Dubai,,"Al Murar al Qadīm",25.27576,55.30738,Asia/Dubai,+971
AE,"United Arab Emirates",Dubai,,"Al Muteena",25.27375,55.32265,Asia/Dubai,+971
AE,"United Arab Emirates",Dubai,,"Al Qusais 1",25.27925,55.36995,Asia/Dubai,+971
AE,"United Arab Emirates",Dubai,,"Al Safa",25.17047,55.23336,Asia/Dubai,+971
AE,"United Arab Emirates",Dubai,,"Al Waheda",25.29173,55.33822,Asia/Dubai,+971
AE,"United Arab Emirates",Dubai,,"Al Warqaa",25.19272,55.42013,Asia/Dubai,+971
AE,"United Arab Emirates",Dubai,,"Al Wasl",25.19881,55.25565,Asia/Dubai,+971
AE,"United Arab Emirates",Dubai,,"Ar Rāshidīyah",25.22499,55.38947,Asia/Dubai,+971
AE,"United Arab Emirates",Dubai,,"As Saţwah",25.22192,55.27459,Asia/Dubai,+971
AE,"United Arab Emirates",Dubai,,"Bur Dubai",25.26038,55.29891,Asia/Dubai,+971
AE,"United Arab Emirates",Dubai,,"Business Bay",25.18544,55.26969,Asia/Dubai,+971
AE,"United Arab Emirates",Dubai,,Dayrah,25.27143,55.30207,Asia/Dubai,+971
AE,"United Arab Emirates",Dubai,,Dubai,25.07725,55.30927,Asia/Dubai,+971
AE,"United Arab Emirates",Dubai,,"Dubai Festival City",25.22177,55.35733,Asia/Dubai,+971
AE,"United Arab Emirates",Dubai,,"Dubai International Financial Centre",25.2106,55.27787,Asia/Dubai,+971
AE,"United Arab Emirates",Dubai,,"Dubai Internet City",25.09538,55.16171,Asia/Dubai,+971
AE,"United Arab Emirates",Dubai,,"Dubai Investments Park",25.00827,55.15682,Asia/Dubai,+971
AE,"United Arab Emirates",Dubai,,"Dubai Marina",25.08525,55.14646,Asia/Dubai,+971
AE,"United Arab Emirates",Dubai,,"Dubai Silicon Oasis",25.11985,55.38718,Asia/Dubai,+971
AE,"United Arab Emirates",Dubai,,"Hawr al ‘Anz",25.27744,55.33675,Asia/Dubai,+971
AE,"United Arab Emirates",Dubai,,"International City",25.16383,55.40987,Asia/Dubai,+971
AE,"United Arab Emirates",Dubai,,"Jebel Ali",25.00255,55.10811,Asia/Dubai,+971
AE,"United Arab Emirates",Dubai,,Jumayrā,25.20795,55.24969,Asia/Dubai,+971
AE,"United Arab Emirates",Dubai,,Lahbab,25.03763,55.59135,Asia/Dubai,+971
AE,"United Arab Emirates",Dubai,,Mankhūl,25.24612,55.29222,Asia/Dubai,+971
AE,"United Arab Emirates",Dubai,,Mirdif,25.22443,55.41412,Asia/Dubai,+971
AE,"United Arab Emirates",Dubai,,Nāyf,25.27139,55.30323,Asia/Dubai,+971
AE,"United Arab Emirates",Dubai,,"The Palm Jumeirah",25.11607,55.13506,Asia/Dubai,+971
AE,"United Arab Emirates",Dubai,,"Umm Suqaym",25.15491,55.21015,Asia/Dubai,+971
AE,"United Arab Emirates",Dubai,,Warīsān,25.16744,55.40708,Asia/Dubai,+971
AE,"United Arab Emirates",Dubai,,Ḩattā,24.80073,56.12726,Asia/Dubai,+971
AE,"United Arab Emirates",Fujairah,,"Dibba Al-Fujairah",25.59246,56.26176,Asia/Dubai,+971
AE,"United Arab Emirates",Fujairah,,"Dibba Al-Hisn",25.61955,56.27291,Asia/Dubai,+971
AE,"United Arab Emirates",Fujairah,,Fujairah,25.11641,56.34141,Asia/Dubai,+971
AE,"United Arab Emirates",Fujairah,,"Reef Al Fujairah City",25.14479,56.24764,Asia/Dubai,+971
AE,"United Arab Emirates",Fujairah,,"Ţarīf Kalbā",25.0695,56.33115,Asia/Dubai,+971
AE,"United Arab Emirates","Ras Al Khaimah",,"Ras Al Khaimah",25.78953,55.9432,Asia/Dubai,+971
AE,"United Arab Emirates",Sharjah,,"Adh Dhayd",25.28812,55.88157,Asia/Dubai,+971
AE,"United Arab Emirates",Sharjah,,"Al Majaz",25.32354,55.38774,Asia/Dubai,+971
AE,"United Arab Emirates",Sharjah,,"Al Sajaah",25.31532,55.63211,Asia/Dubai,+971
AE,"United Arab Emirates",Sharjah,,Halwan,25.34586,55.42165,Asia/Dubai,+971
AE,"United Arab Emirates",Sharjah,,Kalbā,25.0513,56.35422,Asia/Dubai,+971
AE,"United Arab Emirates",Sharjah,,"Khawr Fakkān",25.33132,56.34199,Asia/Dubai,+971
AE,"United Arab Emirates",Sharjah,,Sharjah,25.3342,55.41221,Asia/Dubai,+971
AE,"United Arab Emirates","Umm Al Quwain",,"Umm Al Quwain City",25.56473,55.55517,Asia/Dubai,+971
AR,Argentina,"Buenos Aires",,Adrogué,-34.80041,-58.38384,America/Argentina/Buenos_Aires,+54
AR,Argentina,"Buenos Aires",,Arrecifes,-34.06306,-60.10261,America/Argentina/Buenos_Aires,+54
AR,Argentina,"Buenos Aires",,Avellaneda,-34.66018,-58.36744,America/Argentina/Buenos_Aires,+54
AR,Argentina,"Buenos Aires",,Ayacucho,-37.15276,-58.48838,America/Argentina/Buenos_Aires,+54
AR,Argentina,"Buenos Aires",,Azul,-36.77803,-59.85848,America/Argentina/Buenos_Aires,+54
AR,Argentina,"Buenos Aires",,"Bahía Blanca",-38.7176,-62.26545,America/Argentina/Buenos_Aires,+54
AR,Argentina,"Buenos Aires",,Balcarce,-37.84638,-58.25549,America/Argentina/Buenos_Aires,+54
AR,Argentina,"Buenos Aires",,Banfield,-34.74563,-58.39365,America/Argentina/Buenos_Aires,+54
AR,Argentina,"Buenos Aires",,Baradero,-33.81199,-59.50467,America/Argentina/Buenos_Aires,+54
AR,Argentina,"Buenos Aires",,"Bella Vista",-34.5651,-58.69034,America/Argentina/Buenos_Aires,+54
AR,Argentina,"Buenos Aires",,"Benito Juárez",-37.67188,-59.80653,America/Argentina/Buenos_Aires,+54
AR,Argentina,"Buenos Aires",,Berazategui,-34.76531,-58.21278,America/Argentina/Buenos_Aires,+54
AR,Argentina,"Buenos Aires",,Berisso,-34.8715,-57.88328,America/Argentina/Buenos_Aires,+54
AR,Argentina,"Buenos Aires",,Bragado,-35.11557,-60.48965,America/Argentina/Buenos_Aires,+54
AR,Argentina,"Buenos Aires",,Burzaco,-34.82584,-58.39502,America/Argentina/Buenos_Aires,+54
AR,Argentina,"Buenos Aires",,Campana,-34.16327,-58.95919,America/Argentina/Buenos_Aires,+54
AR,Argentina,"Buenos Aires",,"Carlos Casares",-35.62247,-61.3655,America/Argentina/Buenos_Aires,+54
AR,Argentina,"Buenos Aires",,"Carmen de Areco",-34.3766,-59.82272,America/Argentina/Buenos_Aires,+54
AR,Argentina,"Buenos Aires",,"Carmen de Patagones",-40.80255,-62.98349,America/Argentina/Buenos_Aires,+54
AR,Argentina,"Buenos Aires",,Castelar,-34.65142,-58.64074,America/Argentina/Buenos_Aires,+54
AR,Argentina,"Buenos Aires",,Cañuelas,-35.05379,-58.76205,America/Argentina/Buenos_Aires,+54
AR,Argentina,"Buenos Aires",,Chacabuco,-34.64203,-60.47124,America/Argentina/Buenos_Aires,+54
AR,Argentina,"Buenos Aires",,Chascomús,-35.57681,-58.01215,America/Argentina/Buenos_Aires,+54
AR,Argentina,"Buenos Aires",,Chivilcoy,-34.8969,-60.01909,America/Argentina/Buenos_Aires,+54
AR,Argentina,"Buenos Aires",,Colón,-33.89713,-61.09942,America/Argentina/Buenos_Aires,+54
AR,Argentina,"Buenos Aires",,"Coronel Brandsen",-35.16799,-58.23742,America/Argentina/Buenos_Aires,+54
AR,Argentina,"Buenos Aires",,"Coronel Pringles",-37.98567,-61.3504,America/Argentina/Buenos_Aires,+54
AR,Argentina,"Buenos Aires",,"Coronel Suárez",-37.45859,-61.93294,America/Argentina/Buenos_Aires,+54
AR,Argentina,"Buenos Aires",,Dolores,-36.31539,-57.67546,America/Argentina/Buenos_Aires,+54
AR,Argentina,"Buenos Aires",,"Don Torcuato",-34.49459,-58.62729,America/Argentina/Buenos_Aires,+54
AR,Argentina,"Buenos Aires",,"El Palomar",-34.61771,-58.60153,America/Argentina/Buenos_Aires,+54
AR,Argentina,"Buenos Aires",,Ensenada,-34.86074,-57.91238,America/Argentina/Buenos_Aires,+54
AR,Argentina,"Buenos Aires",,Ezeiza,-34.8544,-58.52474,America/Argentina/Buenos_Aires,+54
AR,Argentina,"Buenos Aires",,"General Belgrano",-35.76842,-58.49444,America/Argentina/Buenos_Aires,+54
AR,Argentina,"Buenos Aires",,"General Juan Madariaga",-37.00196,-57.13584,America/Argentina/Buenos_Aires,+54
AR,Argentina,"Buenos Aires",,"General Pacheco",-34.45256,-58.64312,America/Argentina/Buenos_Aires,+54
AR,Argentina,"Buenos Aires",,"General Villegas",-35.03264,-63.01484,America/Argentina/Buenos_Aires,+54
AR,Argentina,"Buenos Aires",,Haedo,-34.64239,-58.59212,America/Argentina/Buenos_Aires,+54
AR,Argentina,"Buenos Aires",,Hurlingham,-34.5904,-58.62904,America/Argentina/Buenos_Aires,+54
AR,Argentina,"Buenos Aires",,"Ingeniero Pablo Nogués",-34.47775,-58.70652,America/Argentina/Buenos_Aires,+54
AR,Argentina,"Buenos Aires",,"Isidro Casanova",-34.7,-58.58745,America/Argentina/Buenos_Aires,+54
AR,Argentina,"Buenos Aires",,"José C. Paz",-34.51541,-58.76813,America/Argentina/Buenos_Aires,+54
AR,Argentina,"Buenos Aires",,Junín,-34.59391,-60.94644,America/Argentina/Buenos_Aires,+54
AR,Argentina,"Buenos Aires",,"La Plata",-34.92126,-57.95442,America/Argentina/Buenos_Aires,+54
AR,Argentina,"Buenos Aires",,"La Unión",-34.87558,-58.54192,America/Argentina/Buenos_Aires,+54
AR,Argentina,"Buenos Aires",,Laferrere,-34.75049,-58.58464,America/Argentina/Buenos_Aires,+54
